date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:46	33155/33155	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:48%20GMT	https://www.e-obce.sk/infoshow.html?info=1065	C:/My%20Web%20Sites/obce/web/html/infoshow7e0b.html	(from https://www.e-obce.sk/)
12:34:47	378286/378286	---M--	200	added ('OK')	application/pdf	etag:%225c5ae-55c5b8c15335c%22	https://www.e-obce.sk/obrazky/TS_odovzdavanie.pdf	C:/My%20Web%20Sites/obce/web/images/ts_odovzdavanie.pdf	(from https://www.e-obce.sk/)
12:34:48	31843/31843	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:49%20GMT	https://www.e-obce.sk/infoshow.html?info=1061	C:/My%20Web%20Sites/obce/web/html/infoshow601f.html	(from https://www.e-obce.sk/)
12:34:48	473539/473539	---M--	200	added ('OK')	application/pdf	etag:%22739c3-557cbc3e5de3a%22	https://www.e-obce.sk/obrazky/Tlac.pdf	C:/My%20Web%20Sites/obce/web/images/tlac.pdf	(from https://www.e-obce.sk/)
12:34:48	345650/345650	---M--	200	added ('OK')	application/pdf	etag:%2254632-557cbc427aa1e%22	https://www.e-obce.sk/obrazky/Vys.pdf	C:/My%20Web%20Sites/obce/web/images/vys.pdf	(from https://www.e-obce.sk/)
12:34:48	36862/36862	---M--	200	added ('OK')	image/jpeg	etag:%228ffe-560c0fe54dc00%22	https://www.e-obce.sk/obrazky/baner_dat1.jpg	C:/My%20Web%20Sites/obce/web/images/baner_dat1.jpg	(from https://www.e-obce.sk/)
12:34:49	31785/31785	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:50%20GMT	https://www.e-obce.sk/infoshow.html?info=999	C:/My%20Web%20Sites/obce/web/html/infoshow0fd8.html	(from https://www.e-obce.sk/)
12:34:50	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jan%202018%2011:34:50%20GMT	http://www.e-obce.sk/forum.html?akcia=forum&forum=13	C:/My%20Web%20Sites/obce/web/images/forum.7474fe.delayed	(from https://www.e-obce.sk/)
12:34:51	56156/56156	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:52%20GMT	https://www.e-obce.sk/forum.html?akcia=forum&forum=13	C:/My%20Web%20Sites/obce/web/html/forum74fe.html	(from https://www.e-obce.sk/)
12:34:51	341/341	---M--	200	added ('OK')	image/jpeg	etag:%22155-4fc0ecce2cd00%22	https://www.e-obce.sk/images/telovpravobg.jpg	C:/My%20Web%20Sites/obce/web/images/telovpravobg.jpg	(from https://www.e-obce.sk/)
12:34:51	1641/1641	---M--	200	added ('OK')	image/jpeg	etag:%22669-4fc0ecce2cd00%22	https://www.e-obce.sk/images/telor.jpg	C:/My%20Web%20Sites/obce/web/images/telor.jpg	(from https://www.e-obce.sk/)
12:34:51	2888/2888	---M--	200	added ('OK')	image/jpeg	etag:%22b48-4fc0eccd38ac0%22	https://www.e-obce.sk/images/partneri.jpg	C:/My%20Web%20Sites/obce/web/images/partneri.jpg	(from https://www.e-obce.sk/)
12:34:51	1152/1152	---M--	200	added ('OK')	image/jpeg	etag:%22480-4fc0eccc44880%22	https://www.e-obce.sk/images/logo-efo.jpg	C:/My%20Web%20Sites/obce/web/images/logo-efo.jpg	(from https://www.e-obce.sk/)
12:34:51	1886/1886	---M--	200	added ('OK')	image/gif	etag:%2275e-4fc0eccc44880%22	https://www.e-obce.sk/images/logo-uzemneplany.gif	C:/My%20Web%20Sites/obce/web/images/logo-uzemneplany.gif	(from https://www.e-obce.sk/)
12:34:52	7648/7648	---M--	200	added ('OK')	image/gif	etag:%221de0-4fc0eccc44880%22	https://www.e-obce.sk/images/logo-najnakup.gif	C:/My%20Web%20Sites/obce/web/images/logo-najnakup.gif	(from https://www.e-obce.sk/)
12:34:52	7285/7285	---M--	200	added ('OK')	image/png	etag:%221c75-4fc0ecce2cd00%22	https://www.e-obce.sk/images/vt_eobce.png	C:/My%20Web%20Sites/obce/web/images/vt_eobce.png	(from https://www.e-obce.sk/)
12:34:52	2036/2036	---M--	200	added ('OK')	image/jpeg	etag:%227f4-4fc0eccc44880%22	https://www.e-obce.sk/images/logo-meen.jpg	C:/My%20Web%20Sites/obce/web/images/logo-meen.jpg	(from https://www.e-obce.sk/)
12:34:52	3264/3264	---M--	200	added ('OK')	image/jpeg	etag:%22cc0-4fc0eccc44880%22	https://www.e-obce.sk/images/logo-lav.jpg	C:/My%20Web%20Sites/obce/web/images/logo-lav.jpg	(from https://www.e-obce.sk/)
12:34:53	422/422	---M--	200	added ('OK')	image/jpeg	etag:%221a6-4fc0eccd38ac0%22	https://www.e-obce.sk/images/patal.jpg	C:/My%20Web%20Sites/obce/web/images/patal.jpg	(from https://www.e-obce.sk/)
12:34:53	354/354	---M--	200	added ('OK')	image/jpeg	etag:%22162-4fc0eccd38ac0%22	https://www.e-obce.sk/images/pataspod.jpg	C:/My%20Web%20Sites/obce/web/images/pataspod.jpg	(from https://www.e-obce.sk/)
12:34:53	393/393	---M--	200	added ('OK')	image/jpeg	etag:%22189-4fc0eccd38ac0%22	https://www.e-obce.sk/images/patar.jpg	C:/My%20Web%20Sites/obce/web/images/patar.jpg	(from https://www.e-obce.sk/)
